municipio,region,codigo_partido,PBG2021,bienes_2021,servicios_2021,agro_2021,industria_2021,PBG2022,bienes_2022,servicios_2022,agro_2022,industria_2022,poblacion,tipo,codigo_indec,PBG_per_capita,Peso_Agro,Peso_Industria,Peso_Servicios,Variacion_Total,Variacion_Bienes,Variacion_Servicios,Agroindustrial
ESTEBAN ECHEVERRIA,AMBA,260,3521022309.6771746,1034102028.709546,1789817908.1653588,1488433.954054172,838765207.8760152,3726447980.5817976,1130829493.1754997,1859782608.0849037,1570097.3562177117,895531956.6437603,338480,C,06260,11009.359432113559,0.04213388632819658,24.0317847266432,49.90764979884523,5.834262121544397,9.353764114229593,3.909040109631141,Resto
EXALTACION DE LA CRUZ,Interior,266,700869036.4933575,377269918.38689935,221186545.1393025,177973368.99467435,116113786.20621914,784152626.5573217,442136332.39235896,230061732.0669502,196062431.53125808,128189857.70994912,40159,I,06266,19526.19902281734,25.003095684577918,16.347564666427655,29.33889708142585,11.882903328224494,17.193635337482046,4.012534723600909,Agroindustrial
EZEIZA,AMBA,270,2475369799.069792,822764006.2801318,1207325963.9823365,5676543.426198793,542400415.8319583,2772436285.594946,848737948.2803771,1440029543.2012928,6180710.178282144,584320271.5268794,201511,C,06270,13758.237940335495,0.22293425498706476,21.076057710068827,51.940942725479886,12.000893225601581,3.1569127723122365,19.274295936731857,Resto
FLORENCIO VARELA,AMBA,274,4238860041.3269978,1052499413.442438,2258774352.731186,27606293.146127954,938522070.6305975,4478224745.093588,1132415204.2723305,2368234394.0472736,26405734.940166727,996286586.1892006,496433,C,06274,9020.803905247209,0.5896473813445218,22.24735565763526,52.883330534983706,5.646912175275684,7.592953479043737,4.845992747515247,Resto
FLORENTINO AMEGHINO,Interior,277,273329398.8733676,171511067.23275235,71511704.56562752,150415425.8190291,15616225.87156446,265795536.43160772,155089252.70875892,79889929.67535628,132602553.67907436,16627464.851944266,10790,I,06277,24633.506620167536,49.8889317177057,6.255735169662153,30.0569116953222,-2.7563308128630144,-9.57478417512725,11.715879464235016,Resto
GENERAL ALVARADO,Interior,280,643490913.0093185,275365581.91966015,280373405.71640074,233695616.12174034,16442442.461380115,605148372.4235907,228406572.68402627,288270253.8447821,176973809.80184847,18175781.55532554,45526,I,06280,13292.36858989568,29.244697311681882,3.0035248186378483,47.63629334245308,-5.958520906910238,-17.053332848741604,2.8165467791795766,Resto
GENERAL ALVEAR,Interior,287,223891958.87607008,118990467.10227063,76598594.96633628,107008985.85259698,7231421.790636276,237485851.10767794,127627226.56489174,79077901.63000466,114629633.25143774,8750704.40338034,12631,I,06287,18801.824963001975,48.26798426802436,3.6847266321616368,33.29794228210679,6.071630397022173,7.258362516719877,3.2367521424616084,Resto
GENERAL ARENALES,Interior,294,412108663.13953924,237978770.8498761,127882499.21179718,207149259.2674207,24797410.40960419,416111784.30851793,231577262.60555318,136014658.91404548,198619667.92247805,26649444.222843103,16350,I,06294,25450.26203721822,47.73228622989812,6.404395460015234,32.68704805850922,0.9713751558829137,-2.6899492847457314,6.35908724991364,Resto
GENERAL BELGRANO,Interior,301,307515331.6396773,115660461.01234911,149927756.18191132,89470075.97224978,19240401.90956185,319659173.8160688,117909930.83930627,157311018.32882524,88091010.18021704,21198819.60072597,20791,I,06301,15374.88210360583,27.557791984691924,6.631694422423717,49.21210814970748,3.949020073776601,1.94489093962454,4.924546551577554,Resto
GENERAL GUIDO,Interior,308,84797194.44452159,51898222.67311441,24178536.438128,48190039.00281767,483431.6079899877,90109431.28521591,54489452.93579321,26051103.06705056,48635351.32082851,987100.1429796263,3174,I,06308,28389.864929179555,53.97365251023177,1.0954459804049146,28.910517684428797,6.26463749831941,4.9929075201667255,7.744747634805744,Resto
