municipio,region,codigo_partido,PBG2021,bienes_2021,servicios_2021,agro_2021,industria_2021,PBG2022,bienes_2022,servicios_2022,agro_2022,industria_2022,poblacion,tipo,codigo_indec,PBG_per_capita,Peso_Agro,Peso_Industria,Peso_Servicios,Variacion_Total,Variacion_Bienes,Variacion_Servicios,Agroindustrial,crecimiento_total,log_poblacion,peso_agro,peso_industria,region_interior,valor_ajustado,residuo,residuo_estandar
BRANDSEN,Interior,119,577921383.0659741,266922358.01845464,216470167.69563183,56699126.472933605,155785421.89957774,603368711.8044336,274573045.746434,230701411.5533183,58953590.810667574,155716608.66118112,32448,I,06119,18594.943041310205,9.770740453935876,25.807869320153387,38.235560949685805,4.40325094106346,2.866259606267368,6.574228684340615,Resto,4.40325094106346,10.387394086950856,9.810871882285237,26.95616159296768,1,6.688758221904052,-2.2855072808405916,-0.4088982573283118
CAMPANA,Interior,126,5455134443.178591,3467996352.322644,965642933.2615696,44396076.34784303,3175589458.00816,5353751358.047687,3331973700.171729,1017406330.294568,32208009.21894661,3088760065.137758,110566,I,06126,48421.31720463512,0.6015970310337996,57.69337906391142,19.003615637943597,-1.8584892120794447,-3.922225929096359,5.360511142370363,Resto,-1.8584892120794447,11.613367906704086,0.8138401868969224,58.21285416675839,1,4.478030823987247,-6.336520036066692,-1.2217782778918502
CANUELAS,Interior,134,919590495.2693805,349108903.2578677,411342383.6306891,66478943.25867731,204379585.05489153,994444179.3041784,391120155.106974,434566791.22464347,67548834.42553136,213698801.7418138,70684,C,06134,14068.872436536958,6.792622032620865,21.489270709125257,43.699465517382166,8.139893182874923,12.033852891478649,5.646004039011378,Resto,8.139893182874923,11.165974517927946,7.229189905796415,22.225064972536664,0,6.806910168941908,1.3329830139330152,0.24078636079634985
CAPITAN SARMIENTO,Interior,140,332670173.4519447,180032303.53887618,98926668.68543598,79738054.12632345,95113136.08872662,363120352.385817,203074199.57237276,101911503.34307852,99620646.52878724,99840869.56023674,15965,I,06140,22744.776222099405,27.4346083534695,27.495255747646823,28.065489216863583,9.153263912393069,12.7987564345756,3.0172194184903063,Agroindustrial,9.153263912393069,9.678154105148883,23.969102278969974,28.590821684369015,1,5.101621880538876,4.051642031854192,0.7300915253222492
CARLOS CASARES,Interior,147,664843355.6554669,293428894.22001773,304351492.6464081,244249539.86418855,23463487.853787903,675640186.1222696,317712212.53814185,285877034.8326074,268095594.64652196,24920481.612974983,23100,I,06147,29248.49290572596,39.68023219359026,3.6884250115438166,42.31202357476005,1.6239660628266572,8.27570794712401,-6.070105867778377,Resto,1.6239660628266572,10.047587896509885,36.73790792770783,3.529175354494643,1,3.914820657136098,-2.290854594309441,-0.4052310174368603
CARLOS TEJEDOR,Interior,154,364797400.7200789,236267821.757863,90247106.08079916,207563306.9094017,8604096.409922251,425452711.80826914,283273401.5694206,97451763.80879168,260824303.56351736,9159705.728935644,14079,I,06154,30218.95815102416,61.3051218912099,2.152931565532829,22.905427819369137,16.62712260790835,19.89504091663013,7.983256240418536,Resto,16.62712260790835,9.552439604462528,56.898241736286906,2.358595865249725,1,1.1303869364661647,15.496735671442186,2.7614608282265594
CARMEN DE ARECO,Interior,161,340593970.6345752,170965404.27073348,121311742.05787148,103781302.42246056,56110446.69247582,358405619.06097585,179984117.0348798,126759960.42809948,105492613.86323188,59857132.323384546,17499,I,06161,20481.4914601392,29.43386159503385,16.70094695507578,35.36773802827396,5.229584185890025,5.275168273146467,4.49108905519543,Agroindustrial,5.229584185890025,9.769899015421748,30.470681036749173,16.474292421540536,1,4.5961931470969954,0.6333910387930302,0.11221017592244026
CASTELLI,Interior,168,166456049.8852444,84269347.10513629,59636202.70265566,53585409.34503513,9970314.671219517,183776865.4546592,96324754.8591692,63029747.17606669,59451669.66798816,10249567.116518836,9594,I,06168,19155.39560711478,32.34992038900341,5.577180289347995,34.29688879507915,10.40563895476064,14.3058041484436,5.690410052315274,Resto,10.40563895476064,9.168893182062009,32.19192656678875,5.9897580641214905,1,5.844902425642335,4.560736529118305,0.8112742470202511
CHACABUCO,Interior,210,1027810662.2761086,511507993.1299454,370522006.49230987,297910868.6415865,167838562.60203096,1039814688.1548148,500495330.1234137,388187049.6789944,271652486.6561187,173312589.15399286,52729,I,06210,19719.97739678004,26.12508649384199,16.66764194892666,37.332329895035926,1.167921906173159,-2.152979651235678,4.76760971741396,Agroindustrial,1.167921906173159,10.87292086780837,28.984994958298692,16.329716042286318,1,3.2609307441309867,-2.0930088379578278,-0.37026689309920674
CHASCOMUS,Interior,218,620839364.6679505,223857673.52221185,300387197.53937936,93981837.75871173,100370092.58866352,642357945.1483239,226304195.82378688,313574771.5111626,89391293.52702755,109198317.64391758,42452,I,06218,15131.394166313105,13.916118606797433,16.999605666697732,48.81620502705177,3.4660464050765163,1.0928918643176568,4.390191752447902,Resto,3.4660464050765163,10.656129304881713,15.137867072745449,16.166837720147694,1,6.048088229187801,-2.5820418241112844,-0.45754191372375147
